Data	Set	Name:	Wavelength	Pair	1
Analyst:	

Created:	13:03:35	03/20/15
Data:	Original

Instrument	Type:	RF-5301PC
Wavelength:	EX:495.0nm	EM:520.0nm
Slit	Width:	EX:5.0nm	EM:5.0nm
Acquisition	Ra	2.000	Seconds
Reaction	Time:	600.000	Seconds
Sensitivity:	High
Response	Time:	Auto	
Shutter	Mode:	Auto,	Closed

	Time(sec)	Intensity
	0.0000	430.206
	2.0000	430.206
	4.0000	430.206
	6.0000	430.204
	8.0000	430.201
	10.0000	430.199
	12.0000	430.160
	14.0000	430.122
	16.0000	430.083
	18.0000	429.910
	20.0000	429.737
	22.0000	429.564
	24.0000	429.258
	26.0000	428.952
	28.0000	428.646
	30.0000	428.674
	32.0000	428.702
	34.0000	428.730
	36.0000	428.851
	38.0000	428.973
	40.0000	429.094
	42.0000	429.026
	44.0000	428.958
	46.0000	428.890
	48.0000	428.696
	50.0000	428.503
	52.0000	428.309
	54.0000	428.317
	56.0000	428.325
	58.0000	428.333
	60.0000	428.032
	62.0000	427.731
	64.0000	427.430
	66.0000	427.606
	68.0000	427.781
	70.0000	427.957
	72.0000	428.030
	74.0000	428.104
	76.0000	428.177
	78.0000	427.995
	80.0000	427.812
	82.0000	427.630
	84.0000	427.187
	86.0000	426.745
	88.0000	426.302
	90.0000	426.656
	92.0000	427.010
	94.0000	427.364
	96.0000	427.378
	98.0000	427.392
	100.0000	427.406
	102.0000	427.200
	104.0000	426.993
	106.0000	426.787
	108.0000	426.698
	110.0000	426.609
	112.0000	426.520
	114.0000	426.520
	116.0000	426.521
	118.0000	426.521
	120.0000	426.259
	122.0000	425.996
	124.0000	425.734
	126.0000	425.799
	128.0000	425.865
	130.0000	425.930
	132.0000	426.008
	134.0000	426.086
	136.0000	426.164
	138.0000	426.087
	140.0000	426.009
	142.0000	425.932
	144.0000	425.911
	146.0000	425.889
	148.0000	425.868
	150.0000	425.729
	152.0000	425.591
	154.0000	425.452
	156.0000	425.285
	158.0000	425.117
	160.0000	424.950
	162.0000	425.021
	164.0000	425.092
	166.0000	425.163
	168.0000	425.077
	170.0000	424.992
	172.0000	424.906
	174.0000	425.132
	176.0000	425.358
	178.0000	425.584
	180.0000	425.078
	182.0000	424.571
	184.0000	424.065
	186.0000	424.068
	188.0000	424.070
	190.0000	424.073
	192.0000	424.078
	194.0000	424.082
	196.0000	424.087
	198.0000	424.138
	200.0000	424.188
	202.0000	424.239
	204.0000	424.092
	206.0000	423.945
	208.0000	423.798
	210.0000	423.856
	212.0000	423.915
	214.0000	423.973
	216.0000	423.676
	218.0000	423.380
	220.0000	423.083
	222.0000	423.288
	224.0000	423.493
	226.0000	423.698
	228.0000	423.306
	230.0000	422.915
	232.0000	422.523
	234.0000	422.724
	236.0000	422.924
	238.0000	423.125
	240.0000	423.015
	242.0000	422.904
	244.0000	422.794
	246.0000	422.626
	248.0000	422.457
	250.0000	422.289
	252.0000	422.462
	254.0000	422.635
	256.0000	422.808
	258.0000	422.613
	260.0000	422.418
	262.0000	422.223
	264.0000	422.163
	266.0000	422.103
	268.0000	422.043
	270.0000	422.083
	272.0000	422.124
	274.0000	422.164
	276.0000	422.135
	278.0000	422.107
	280.0000	422.078
	282.0000	422.167
	284.0000	422.257
	286.0000	422.346
	288.0000	421.966
	290.0000	421.586
	292.0000	421.206
	294.0000	421.433
	296.0000	421.661
	298.0000	421.888
	300.0000	421.696
	302.0000	421.503
	304.0000	421.311
	306.0000	421.103
	308.0000	420.894
	310.0000	420.686
	312.0000	420.778
	314.0000	420.870
	316.0000	420.962
	318.0000	421.024
	320.0000	421.087
	322.0000	421.149
	324.0000	420.902
	326.0000	420.654
	328.0000	420.407
	330.0000	420.516
	332.0000	420.624
	334.0000	420.733
	336.0000	420.508
	338.0000	420.282
	340.0000	420.057
	342.0000	420.112
	344.0000	420.166
	346.0000	420.221
	348.0000	420.063
	350.0000	419.906
	352.0000	419.748
	354.0000	419.862
	356.0000	419.975
	358.0000	420.089
	360.0000	420.108
	362.0000	420.128
	364.0000	420.147
	366.0000	419.774
	368.0000	419.401
	370.0000	419.028
