Data	Set	Name:	Wavelength	Pair	1
Analyst:	

Created:	15:59:25	03/20/15
Data:	Original

Instrument	Type:	RF-5301PC
Wavelength:	EX:330.0nm	EM:520.0nm
Slit	Width:	EX:5.0nm	EM:5.0nm
Acquisition	Ra	1.000	Seconds
Reaction	Time:	600.000	Seconds
Sensitivity:	High
Response	Time:	Auto	
Shutter	Mode:	Auto,	Closed

	Time(sec)	Intensity
	0.0000	3764.213
	1.0000	9.910
	2.0000	9.946
	3.0000	9.946
	4.0000	9.964
	5.0000	9.957
	6.0000	9.871
	7.0000	9.957
	8.0000	9.953
	9.0000	9.949
	10.0000	9.929
	11.0000	9.959
	12.0000	9.933
	13.0000	9.905
	14.0000	9.828
	15.0000	9.880
	16.0000	9.875
	17.0000	9.883
	18.0000	9.900
	19.0000	9.915
	20.0000	9.897
	21.0000	9.925
	22.0000	9.906
	23.0000	9.937
	24.0000	9.906
	25.0000	9.909
	26.0000	9.892
	27.0000	9.905
	28.0000	9.922
	29.0000	9.925
	30.0000	9.872
	31.0000	9.957
	32.0000	9.956
	33.0000	9.919
	34.0000	9.904
	35.0000	9.879
	36.0000	9.924
	37.0000	9.877
	38.0000	9.885
	39.0000	9.933
	40.0000	9.862
	41.0000	9.990
	42.0000	9.967
	43.0000	9.965
	44.0000	9.828
	45.0000	9.886
	46.0000	9.837
	47.0000	9.904
	48.0000	9.874
	49.0000	9.899
	50.0000	9.860
	51.0000	9.871
	52.0000	9.966
	53.0000	9.947
	54.0000	9.899
	55.0000	9.900
	56.0000	9.888
	57.0000	9.902
	58.0000	9.945
	59.0000	9.898
	60.0000	9.861
	61.0000	9.893
	62.0000	9.926
	63.0000	9.955
	64.0000	9.872
	65.0000	9.877
	66.0000	9.949
	67.0000	9.843
	68.0000	9.872
	69.0000	9.862
	70.0000	9.967
	71.0000	9.934
	72.0000	9.896
	73.0000	9.927
	74.0000	9.834
	75.0000	9.907
	76.0000	9.910
	77.0000	9.907
	78.0000	9.912
	79.0000	9.894
	80.0000	9.856
	81.0000	9.912
	82.0000	9.852
	83.0000	9.876
	84.0000	9.871
	85.0000	9.874
	86.0000	9.886
	87.0000	9.915
	88.0000	9.890
	89.0000	9.837
	90.0000	9.808
	91.0000	9.884
	92.0000	9.944
	93.0000	9.907
	94.0000	9.834
	95.0000	9.844
	96.0000	9.926
	97.0000	9.867
	98.0000	9.909
	99.0000	9.918
	100.0000	9.848
	101.0000	9.850
	102.0000	9.935
	103.0000	9.929
	104.0000	9.854
	105.0000	9.873
	106.0000	9.843
	107.0000	9.973
	108.0000	9.935
	109.0000	9.893
	110.0000	9.857
	111.0000	9.884
	112.0000	9.902
	113.0000	9.875
	114.0000	9.824
	115.0000	9.846
	116.0000	9.760
	117.0000	9.874
	118.0000	9.890
	119.0000	9.795
	120.0000	9.858
	121.0000	9.905
	122.0000	9.870
	123.0000	9.920
	124.0000	9.904
	125.0000	9.867
	126.0000	9.900
	127.0000	9.874
	128.0000	9.882
	129.0000	9.820
	130.0000	9.851
	131.0000	9.941
	132.0000	9.917
	133.0000	9.842
	134.0000	9.853
	135.0000	9.839
	136.0000	9.862
	137.0000	9.833
	138.0000	9.823
	139.0000	9.869
	140.0000	9.850
	141.0000	9.859
	142.0000	9.837
	143.0000	9.859
	144.0000	9.865
	145.0000	9.842
	146.0000	9.811
	147.0000	9.909
	148.0000	9.846
	149.0000	9.886
	150.0000	9.833
	151.0000	9.796
	152.0000	9.928
	153.0000	9.804
	154.0000	9.803
	155.0000	9.892
	156.0000	9.918
	157.0000	9.839
	158.0000	9.844
	159.0000	9.860
	160.0000	9.927
	161.0000	9.839
	162.0000	9.876
	163.0000	9.860
	164.0000	9.851
	165.0000	9.806
	166.0000	9.888
	167.0000	9.891
	168.0000	9.854
	169.0000	9.899
	170.0000	9.913
	171.0000	9.767
	172.0000	9.907
	173.0000	9.862
	174.0000	9.822
	175.0000	9.857
	176.0000	9.846
	177.0000	9.896
	178.0000	9.947
	179.0000	9.752
	180.0000	9.917
	181.0000	9.802
	182.0000	9.823
	183.0000	9.798
	184.0000	9.869
	185.0000	9.923
