Data	Set	Name:	Wavelength	Pair	1
Analyst:	

Created:	15:18:03	03/20/15
Data:	Original

Instrument	Type:	RF-5301PC
Wavelength:	EX:330.0nm	EM:520.0nm
Slit	Width:	EX:5.0nm	EM:5.0nm
Acquisition	Ra	1.000	Seconds
Reaction	Time:	600.000	Seconds
Sensitivity:	High
Response	Time:	Auto	
Shutter	Mode:	Auto,	Closed

	Time(sec)	Intensity
	0.0000	10.587
	1.0000	10.380
	2.0000	10.250
	3.0000	10.311
	4.0000	10.327
	5.0000	10.324
	6.0000	10.314
	7.0000	10.376
	8.0000	10.354
	9.0000	10.320
	10.0000	10.292
	11.0000	10.235
	12.0000	10.278
	13.0000	10.407
	14.0000	10.330
	15.0000	10.381
	16.0000	10.270
	17.0000	10.315
	18.0000	10.318
	19.0000	10.339
	20.0000	10.288
	21.0000	10.244
	22.0000	10.319
	23.0000	10.307
	24.0000	10.233
	25.0000	10.250
	26.0000	10.288
	27.0000	10.272
	28.0000	10.315
	29.0000	10.308
	30.0000	10.316
	31.0000	10.301
	32.0000	10.329
	33.0000	10.310
	34.0000	10.299
	35.0000	10.271
	36.0000	10.255
	37.0000	10.331
	38.0000	10.306
	39.0000	10.338
	40.0000	10.376
	41.0000	10.387
	42.0000	10.224
	43.0000	10.282
	44.0000	10.248
	45.0000	10.327
	46.0000	10.302
	47.0000	10.280
	48.0000	10.321
	49.0000	10.254
	50.0000	10.291
	51.0000	10.311
	52.0000	10.306
	53.0000	10.308
	54.0000	10.292
	55.0000	10.245
	56.0000	10.311
	57.0000	10.311
	58.0000	10.318
	59.0000	10.334
	60.0000	10.254
	61.0000	10.253
	62.0000	10.293
	63.0000	10.258
	64.0000	10.362
	65.0000	10.292
	66.0000	10.289
	67.0000	10.201
	68.0000	10.254
	69.0000	10.355
	70.0000	10.296
	71.0000	10.309
	72.0000	10.368
	73.0000	10.267
	74.0000	10.269
	75.0000	10.296
	76.0000	10.297
	77.0000	10.270
	78.0000	10.247
	79.0000	10.311
	80.0000	10.318
	81.0000	10.269
	82.0000	10.229
	83.0000	10.269
	84.0000	10.296
	85.0000	10.272
	86.0000	10.220
	87.0000	10.315
	88.0000	10.331
	89.0000	10.273
	90.0000	10.297
	91.0000	10.197
	92.0000	10.231
	93.0000	10.287
	94.0000	10.300
	95.0000	10.337
	96.0000	10.339
	97.0000	10.339
	98.0000	10.218
	99.0000	10.293
	100.0000	10.246
	101.0000	10.270
	102.0000	10.253
	103.0000	10.279
	104.0000	10.288
	105.0000	10.268
	106.0000	10.245
	107.0000	10.324
	108.0000	10.331
	109.0000	10.248
	110.0000	10.285
	111.0000	10.244
	112.0000	10.293
	113.0000	10.285
	114.0000	10.311
	115.0000	10.264
	116.0000	10.239
	117.0000	10.290
	118.0000	10.197
	119.0000	10.303
	120.0000	10.271
	121.0000	10.210
	122.0000	10.168
	123.0000	10.324
	124.0000	10.245
	125.0000	10.292
	126.0000	10.216
	127.0000	10.210
	128.0000	10.265
	129.0000	10.319
	130.0000	10.222
	131.0000	10.276
	132.0000	10.276
	133.0000	10.262
	134.0000	10.307
	135.0000	10.158
	136.0000	10.241
	137.0000	10.253
	138.0000	10.206
	139.0000	10.186
	140.0000	10.181
	141.0000	10.229
	142.0000	10.169
	143.0000	10.233
	144.0000	10.210
	145.0000	10.240
	146.0000	10.247
	147.0000	10.218
	148.0000	10.269
	149.0000	10.233
	150.0000	10.306
	151.0000	10.216
	152.0000	10.206
	153.0000	10.308
	154.0000	10.267
	155.0000	10.252
	156.0000	10.283
	157.0000	10.239
	158.0000	10.225
	159.0000	10.265
	160.0000	10.270
	161.0000	10.259
	162.0000	10.228
	163.0000	10.271
	164.0000	10.189
	165.0000	10.196
	166.0000	10.268
	167.0000	10.282
	168.0000	10.263
	169.0000	10.191
	170.0000	10.250
	171.0000	10.338
	172.0000	10.265
	173.0000	10.177
	174.0000	10.262
	175.0000	10.261
	176.0000	10.267
	177.0000	10.274
	178.0000	10.261
	179.0000	10.280
	180.0000	10.251
	181.0000	10.195
	182.0000	10.229
	183.0000	10.208
	184.0000	10.257
	185.0000	10.217
