"Time.sec.","Intensity"
0,472.13
2,472.13
4,472.13
6,472.196
8,472.261
10,472.327
12,472.114
14,471.9
16,471.687
18,471.591
20,471.495
22,471.399
24,471.312
26,471.225
28,471.138
30,471.079
32,471.021
34,470.962
36,471.096
38,471.229
40,471.363
42,471.284
44,471.204
46,471.125
48,470.936
50,470.746
52,470.557
54,470.388
56,470.22
58,470.051
60,469.92
62,469.789
64,469.658
66,469.772
68,469.885
70,469.999
72,469.871
74,469.744
76,469.616
78,469.653
80,469.691
82,469.728
84,469.661
86,469.595
88,469.528
90,469.061
92,468.594
94,468.127
96,468.51
98,468.893
100,469.276
102,469.31
104,469.344
106,469.378
108,468.999
110,468.619
112,468.24
114,468.279
116,468.317
118,468.356
120,468.223
122,468.09
124,467.957
126,468.007
128,468.058
130,468.108
132,467.801
134,467.495
136,467.188
138,467.012
140,466.836
142,466.66
144,466.963
146,467.265
148,467.568
150,467.193
152,466.817
154,466.442
156,466.807
158,467.173
160,467.538
162,467.519
164,467.501
166,467.482
168,466.971
170,466.46
172,465.949
174,465.893
176,465.838
178,465.782
180,465.813
182,465.843
184,465.874
186,465.975
188,466.076
190,466.177
192,465.796
194,465.416
196,465.035
198,464.964
200,464.893
202,464.822
204,464.808
206,464.793
208,464.779
210,464.675
212,464.572
214,464.468
216,464.711
218,464.954
220,465.197
222,464.781
224,464.366
226,463.95
228,464.216
230,464.482
232,464.748
234,464.46
236,464.172
238,463.884
240,463.826
242,463.767
244,463.709
246,463.567
248,463.424
250,463.282
252,463.284
254,463.285
256,463.287
258,463.304
260,463.322
262,463.339
264,463.129
266,462.919
268,462.709
270,463.027
272,463.346
274,463.664
276,463.222
278,462.78
280,462.338
282,462.436
284,462.533
286,462.631
288,462.321
290,462.011
292,461.701
294,461.799
296,461.896
298,461.994
300,461.858
302,461.721
304,461.585
306,461.773
308,461.961
310,462.149
312,461.767
314,461.384
316,461.002
318,461.16
320,461.318
322,461.476
324,461.204
326,460.931
328,460.659
330,460.755
332,460.851
334,460.947
336,460.883
338,460.818
340,460.754
342,460.544
344,460.333
346,460.123
348,460.201
350,460.279
352,460.357
354,460.365
356,460.374
358,460.382
360,460.093
362,459.805
364,459.516
366,459.34
368,459.165
370,458.989
372,458.739
374,458.489
376,458.239
378,458.206
380,458.172
382,458.139
384,458.198
386,458.258
388,458.317
390,458.357
392,458.397
394,458.437
396,458.471
398,458.504
400,458.538
402,458.477
404,458.417
406,458.356
408,458.064
410,457.771
412,457.479
414,457.796
416,458.112
418,458.429
420,458.059
422,457.69
424,457.32
426,457.522
428,457.725
430,457.927
432,457.758
434,457.588
436,457.419
438,457.516
440,457.612
442,457.709
444,457.347
446,456.986
448,456.624
450,456.485
452,456.345
454,456.206
456,456.049
458,455.893
460,455.736
462,456.13
464,456.525
466,456.919
468,456.6
470,456.282
472,455.963
474,455.753
476,455.542
478,455.332
480,455.187
482,455.043
484,454.898
486,455.006
488,455.113
490,455.221
492,455
494,454.778
496,454.557
498,454.506
500,454.454
502,454.403
504,454.418
506,454.433
508,454.448
510,454.711
512,454.974
514,455.237
516,454.838
518,454.44
520,454.041
522,454.159
524,454.277
526,454.395
528,454.064
530,453.733
532,453.402
534,453.574
536,453.747
538,453.919
540,453.837
542,453.755
544,453.673
546,453.642
548,453.612
550,453.581
552,453.637
554,453.692
556,453.748
558,453.527
560,453.306
562,453.085
