"Time_sec","MagnetsZ_mm","Extension_nm","expDetail","id"
168.773,-2,260.793,"expDetail","./sample.txt"
168.785,-2,271.822,"expDetail","./sample.txt"
168.792,-2,243.083,"expDetail","./sample.txt"
168.802,-2,249.726,"expDetail","./sample.txt"
168.812,-2,201.173,"expDetail","./sample.txt"
168.822,-2,260.334,"expDetail","./sample.txt"
168.832,-2,256.25,"expDetail","./sample.txt"
168.842,-2,275.792,"expDetail","./sample.txt"
168.852,-2,260.831,"expDetail","./sample.txt"
168.862,-2,238.388,"expDetail","./sample.txt"
168.872,-2,236.719,"expDetail","./sample.txt"
168.881,-2,263.318,"expDetail","./sample.txt"
168.891,-2,233.874,"expDetail","./sample.txt"
168.901,-2,258.006,"expDetail","./sample.txt"
168.911,-2,262.584,"expDetail","./sample.txt"
168.92,-2,273.137,"expDetail","./sample.txt"
168.931,-2,272.415,"expDetail","./sample.txt"
168.941,-2,280.773,"expDetail","./sample.txt"
168.951,-2,257.443,"expDetail","./sample.txt"
168.96,-2,266.588,"expDetail","./sample.txt"
168.97,-2,271.851,"expDetail","./sample.txt"
168.98,-2,253.673,"expDetail","./sample.txt"
168.99,-2,267.972,"expDetail","./sample.txt"
168.999,-2,277.257,"expDetail","./sample.txt"
169.009,-2,262.819,"expDetail","./sample.txt"
169.02,-2,255.381,"expDetail","./sample.txt"
169.03,-2,229.561,"expDetail","./sample.txt"
169.04,-2,255.157,"expDetail","./sample.txt"
169.049,-2,255.15,"expDetail","./sample.txt"
169.059,-2,254.741,"expDetail","./sample.txt"
169.069,-2,244.439,"expDetail","./sample.txt"
169.079,-2,284.535,"expDetail","./sample.txt"
169.088,-2,260.961,"expDetail","./sample.txt"
169.098,-2,270.721,"expDetail","./sample.txt"
169.109,-2,245.087,"expDetail","./sample.txt"
169.119,-2,251.3,"expDetail","./sample.txt"
169.128,-2,240.054,"expDetail","./sample.txt"
169.138,-2,241.733,"expDetail","./sample.txt"
169.148,-2,256.46,"expDetail","./sample.txt"
169.158,-2,256.666,"expDetail","./sample.txt"
169.167,-2,242.106,"expDetail","./sample.txt"
169.177,-2,283.029,"expDetail","./sample.txt"
169.187,-2,256.54,"expDetail","./sample.txt"
169.197,-2,245.661,"expDetail","./sample.txt"
169.208,-2,249.117,"expDetail","./sample.txt"
169.217,-2,263.662,"expDetail","./sample.txt"
169.227,-2,265.385,"expDetail","./sample.txt"
169.237,-2,279.072,"expDetail","./sample.txt"
169.247,-2,262.546,"expDetail","./sample.txt"
169.256,-2,236.438,"expDetail","./sample.txt"
169.268,-2,262.3,"expDetail","./sample.txt"
169.276,-2,264.438,"expDetail","./sample.txt"
169.287,-2,241.224,"expDetail","./sample.txt"
169.296,-2,268.118,"expDetail","./sample.txt"
169.306,-2,244.835,"expDetail","./sample.txt"
169.316,-2,243.797,"expDetail","./sample.txt"
169.326,-2,262.984,"expDetail","./sample.txt"
169.335,-2,262.94,"expDetail","./sample.txt"
169.345,-2,263.939,"expDetail","./sample.txt"
169.355,-2,272.872,"expDetail","./sample.txt"
169.365,-2,222.685,"expDetail","./sample.txt"
169.374,-2,242.46,"expDetail","./sample.txt"
169.384,-2,265.65,"expDetail","./sample.txt"
169.395,-2,246.547,"expDetail","./sample.txt"
169.405,-2,258.626,"expDetail","./sample.txt"
169.415,-2,238.536,"expDetail","./sample.txt"
169.424,-2,248.618,"expDetail","./sample.txt"
169.434,-2,266.101,"expDetail","./sample.txt"
169.444,-2,224.325,"expDetail","./sample.txt"
169.454,-2,248.123,"expDetail","./sample.txt"
169.463,-2,250.78,"expDetail","./sample.txt"
169.473,-2,246.62,"expDetail","./sample.txt"
169.483,-2,252.221,"expDetail","./sample.txt"
169.494,-2,249.053,"expDetail","./sample.txt"
169.503,-2,244.556,"expDetail","./sample.txt"
169.513,-2,243.998,"expDetail","./sample.txt"
169.523,-2,250.131,"expDetail","./sample.txt"
169.533,-2,226.547,"expDetail","./sample.txt"
169.542,-2,239.075,"expDetail","./sample.txt"
169.551,-2,257.184,"expDetail","./sample.txt"
169.561,-2,282.32,"expDetail","./sample.txt"
169.572,-2,257.581,"expDetail","./sample.txt"
169.582,-2,257.403,"expDetail","./sample.txt"
169.591,-2,278.986,"expDetail","./sample.txt"
169.601,-2,278.008,"expDetail","./sample.txt"
169.611,-2,254.606,"expDetail","./sample.txt"
169.621,-2,254.435,"expDetail","./sample.txt"
169.63,-2,242.168,"expDetail","./sample.txt"
169.64,-2,270.451,"expDetail","./sample.txt"
169.65,-2,243.345,"expDetail","./sample.txt"
169.66,-2,262.255,"expDetail","./sample.txt"
169.67,-2,263.033,"expDetail","./sample.txt"
169.68,-2,262.758,"expDetail","./sample.txt"
169.69,-2,252.256,"expDetail","./sample.txt"
169.7,-2,232.904,"expDetail","./sample.txt"
169.709,-2,217.088,"expDetail","./sample.txt"
169.719,-2,248.952,"expDetail","./sample.txt"
169.729,-2,211.009,"expDetail","./sample.txt"
169.739,-2,225.507,"expDetail","./sample.txt"
169.749,-2,256.428,"expDetail","./sample.txt"
169.758,-2,272.288,"expDetail","./sample.txt"
169.768,-2,247.207,"expDetail","./sample.txt"
169.779,-2,253.365,"expDetail","./sample.txt"
169.789,-2,228.313,"expDetail","./sample.txt"
169.798,-2,260.096,"expDetail","./sample.txt"
169.809,-2,247.294,"expDetail","./sample.txt"
169.818,-2,261.576,"expDetail","./sample.txt"
169.828,-2,268.813,"expDetail","./sample.txt"
169.837,-2,274.404,"expDetail","./sample.txt"
169.847,-2,246.947,"expDetail","./sample.txt"
169.858,-2,246.215,"expDetail","./sample.txt"
169.868,-2,235.114,"expDetail","./sample.txt"
169.877,-2,240.27,"expDetail","./sample.txt"
169.887,-2,236.642,"expDetail","./sample.txt"
169.897,-2,238.744,"expDetail","./sample.txt"
169.907,-2,224.175,"expDetail","./sample.txt"
169.916,-2,233.23,"expDetail","./sample.txt"
169.926,-2,254.974,"expDetail","./sample.txt"
169.936,-2,230.455,"expDetail","./sample.txt"
169.946,-2,239.157,"expDetail","./sample.txt"
169.957,-2,259.26,"expDetail","./sample.txt"
169.966,-2,245.426,"expDetail","./sample.txt"
169.976,-2,245.207,"expDetail","./sample.txt"
169.986,-2,245.064,"expDetail","./sample.txt"
169.996,-2,240.957,"expDetail","./sample.txt"
170.005,-2,258.468,"expDetail","./sample.txt"
170.015,-2,250.423,"expDetail","./sample.txt"
170.025,-2,223.696,"expDetail","./sample.txt"
170.035,-2,236.226,"expDetail","./sample.txt"
170.045,-2,248.639,"expDetail","./sample.txt"
170.055,-2,250.551,"expDetail","./sample.txt"
170.065,-2,247.824,"expDetail","./sample.txt"
170.075,-2,242.774,"expDetail","./sample.txt"
170.084,-2,256.59,"expDetail","./sample.txt"
170.094,-2,249.444,"expDetail","./sample.txt"
170.104,-2,262.422,"expDetail","./sample.txt"
170.114,-2,265.407,"expDetail","./sample.txt"
170.124,-2,249.441,"expDetail","./sample.txt"
170.134,-2,245.948,"expDetail","./sample.txt"
170.144,-2,260.697,"expDetail","./sample.txt"
170.154,-2,235.982,"expDetail","./sample.txt"
170.164,-2,238.307,"expDetail","./sample.txt"
170.173,-2,285.224,"expDetail","./sample.txt"
170.183,-2,270.262,"expDetail","./sample.txt"
170.193,-2,239.776,"expDetail","./sample.txt"
170.203,-2,245.986,"expDetail","./sample.txt"
170.212,-2,230.438,"expDetail","./sample.txt"
170.222,-2,272.258,"expDetail","./sample.txt"
170.233,-2,240.235,"expDetail","./sample.txt"
170.243,-2,240.92,"expDetail","./sample.txt"
170.252,-2,252.916,"expDetail","./sample.txt"
170.262,-2,255.537,"expDetail","./sample.txt"
170.272,-2,277.662,"expDetail","./sample.txt"
170.282,-2,251.559,"expDetail","./sample.txt"
170.291,-2,250.916,"expDetail","./sample.txt"
170.301,-2,226.377,"expDetail","./sample.txt"
170.311,-2,263.813,"expDetail","./sample.txt"
170.321,-2,270.236,"expDetail","./sample.txt"
170.332,-2,257.083,"expDetail","./sample.txt"
170.341,-2,259.3,"expDetail","./sample.txt"
170.351,-2,257.134,"expDetail","./sample.txt"
170.361,-2,233.361,"expDetail","./sample.txt"
170.371,-2,250.321,"expDetail","./sample.txt"
170.38,-2,251.02,"expDetail","./sample.txt"
170.39,-2,260.069,"expDetail","./sample.txt"
170.4,-2,267.294,"expDetail","./sample.txt"
170.41,-2,247.503,"expDetail","./sample.txt"
170.42,-2,250.871,"expDetail","./sample.txt"
170.43,-2,267.839,"expDetail","./sample.txt"
170.44,-2,257.115,"expDetail","./sample.txt"
170.45,-2,247.524,"expDetail","./sample.txt"
170.459,-2,260.586,"expDetail","./sample.txt"
170.469,-2,251.512,"expDetail","./sample.txt"
170.479,-2,267.226,"expDetail","./sample.txt"
170.489,-2,260.256,"expDetail","./sample.txt"
170.499,-2,258.834,"expDetail","./sample.txt"
170.508,-2,243.56,"expDetail","./sample.txt"
170.518,-2,257.196,"expDetail","./sample.txt"
170.529,-2,257.343,"expDetail","./sample.txt"
170.539,-2,286.2,"expDetail","./sample.txt"
170.548,-2,247.605,"expDetail","./sample.txt"
170.558,-2,246.313,"expDetail","./sample.txt"
170.568,-2,257.157,"expDetail","./sample.txt"
170.578,-2,266.562,"expDetail","./sample.txt"
170.587,-2,275.186,"expDetail","./sample.txt"
170.597,-2,245.128,"expDetail","./sample.txt"
170.608,-2,257.654,"expDetail","./sample.txt"
170.618,-2,239.254,"expDetail","./sample.txt"
170.627,-2,252.209,"expDetail","./sample.txt"
170.637,-2,253.261,"expDetail","./sample.txt"
170.647,-2,241.605,"expDetail","./sample.txt"
170.657,-2,240.201,"expDetail","./sample.txt"
170.666,-2,227.605,"expDetail","./sample.txt"
170.676,-2,231.663,"expDetail","./sample.txt"
170.686,-2,260.249,"expDetail","./sample.txt"
170.696,-2,262.649,"expDetail","./sample.txt"
170.707,-2,252.057,"expDetail","./sample.txt"
170.716,-2,229.6,"expDetail","./sample.txt"
170.726,-2,263.88,"expDetail","./sample.txt"
170.736,-2,274.611,"expDetail","./sample.txt"
170.746,-2,257.27,"expDetail","./sample.txt"
170.755,-2,265.912,"expDetail","./sample.txt"
170.765,-2,267.013,"expDetail","./sample.txt"
170.775,-2,281.231,"expDetail","./sample.txt"
170.785,-2,237.214,"expDetail","./sample.txt"
170.795,-2,264.84,"expDetail","./sample.txt"
170.805,-2,268.642,"expDetail","./sample.txt"
170.815,-2,259.099,"expDetail","./sample.txt"
170.825,-2,264.043,"expDetail","./sample.txt"
170.834,-2,252.589,"expDetail","./sample.txt"
170.844,-2,273.324,"expDetail","./sample.txt"
170.854,-2,254.896,"expDetail","./sample.txt"
170.864,-2,235.248,"expDetail","./sample.txt"
170.874,-2,273.001,"expDetail","./sample.txt"
170.884,-2,237.744,"expDetail","./sample.txt"
170.894,-2,252.116,"expDetail","./sample.txt"
170.904,-2,239.513,"expDetail","./sample.txt"
170.914,-2,281.665,"expDetail","./sample.txt"
170.923,-2,250.176,"expDetail","./sample.txt"
170.933,-2,240.986,"expDetail","./sample.txt"
170.943,-2,261.1,"expDetail","./sample.txt"
170.953,-2,241.096,"expDetail","./sample.txt"
170.962,-2,260.099,"expDetail","./sample.txt"
170.973,-2,271.485,"expDetail","./sample.txt"
170.983,-2,262.021,"expDetail","./sample.txt"
170.993,-2,260.726,"expDetail","./sample.txt"
171.002,-2,250.757,"expDetail","./sample.txt"
171.012,-2,269.821,"expDetail","./sample.txt"
171.022,-2,267.951,"expDetail","./sample.txt"
171.032,-2,262.003,"expDetail","./sample.txt"
171.042,-2,277.703,"expDetail","./sample.txt"
171.051,-2,256.775,"expDetail","./sample.txt"
171.061,-2,263.168,"expDetail","./sample.txt"
171.072,-2,267.019,"expDetail","./sample.txt"
171.082,-2,245.718,"expDetail","./sample.txt"
171.091,-2,262.945,"expDetail","./sample.txt"
171.101,-2,251.02,"expDetail","./sample.txt"
171.111,-2,236.217,"expDetail","./sample.txt"
