"cycle","meanExtension","stdExtension","Visduration","UVduration","expDetails","originalData"
1,251.682709666554,0.310942949119468,52.784,481.358,"exp","./sample.txt"
2,182.644220206264,2.16926687736384,150.076,503.122,"exp","./sample.txt"
3,213.558522144522,0.362307821883953,61.23,584.202,"exp","./sample.txt"
4,206.639715363239,0.38431524529849,68.239,476.984,"exp","./sample.txt"
5,234.459827299059,0.319578297572174,74.1089999999999,543.033,"exp","./sample.txt"
6,216.073253173484,0.388651857327874,88.7109999999998,445.141,"exp","./sample.txt"
7,194.148196402878,0.331899138833148,90.7190000000001,469.848,"exp","./sample.txt"
8,NA,NA,83.991,483.939,"exp","./sample.txt"
9,187.067398579321,0.316444473566972,62.4349999999995,NA,"exp","./sample.txt"
